0,1,2,3,4,5,6,7,8,9,10
,,Evening,Cloudy,Plant Feeding +1-2 Kindness ,,,,N/A,,"NO MORE Going to bed Joker :O
Feed your plant!!

Read Pirate Legends"
,4/20,WEDNESDAY,Rain,"Can Read a Book on the Train

Improved Study +3 Knowledge
Improved Tool Crafting",Takemi - Death,,Rainy Day Items Available,"Palace Available

12 Days until Deadline","Midterm on 5/11 Knowledge Rank 2 to pass, 
Rank 3 for Top Ten in Class. 
Don't worry about being Top Ten or Ranked One
the rewards aren't worth it. Settle for passing 
the exams and the plus 2 to Charm.","Finish Pirate Legends & Exchange for
Zorro, the Outlaw. Buy the DVD player in
Yongen then head to Shubuya to rent Wraith

Send the Calling card"
,,After School,,,,,,,,
,,Evening,Rain,"Improved Study +3 Knowledge
Improved Tool Crafting",Sojiro-Hierophant,,,N/A,,Make three Lockpicks
,4/21,THURSDAY,Rain,"Shibuya Diner now available

Improved Study +3 Knowledge",Takemi - Death,,Rainy Day Items Available,"Palace Available

11 Days until Deadline
",,Steal the Treasure!!
,,After School,,,,,,,,
,,Evening,Clear,Bathhouse now Available +2 Charm ,Sojiro - Hierophant,,,N/A,"Spare Sandwich in the Fridge 

Sojiro will now let you roam Yongen-Jaya 
at night.",Watch Wraith
,4/22,FRIDAY,Clear,,"Takemi - Death
Ryuji - Chariot",,Yakisoba Pan at School Store,"Palace Available

10 Days until Deadline",,"Watch Tanktop Millionare at Shibuya
Movie Theater"
,,After School,,,,,,,,
,,Evening,Cloudy,,Sojiro - Hierophant,,,N/A,,Have a little chat with Sojiro
,4/23,SATURDAY,Clear,"Class Question +1 Knowledge
","Takemi - Death
Ryuji - Chariot",,"Supermarket sale in Yongen
","Palace Available

9 Days until Deadline","
",Advance Death to Rank 2
,,After School,,,,,,,,
,,Evening,Clear,,Sojiro - Hierophant,,,N/A,,Advance Hierophant to Rank 2
,4/24,SUNDAY,Clear,"Aojiru Juice for Sale +1 Charm
(Try to not miss these every Sunday)","Takemi - Death
Ryuji - Chariot",,"Supermarket sale in Yongen

TV Shopping: 
Spring Awake Set - 1,680yen
Share of Spring Set - 5,980yen","Palace Available

 8 Days until Deadline",,"Buy Aojiru Juice

Apply and Work at Triple Seven"
,,Daytime,,,,,,,,
,,Evening,Cloudy,,Sojiro - Hierophant,,"TV Shopping: 
Spring Awake Set - 1,680yen
Share of Spring Set - 5,980yen",N/A,,Brew some Coffee
,4/25,MONDAY,Cloudy,"Can Read a Book on the Train 

Class Question +1 Charm & 
+1 (+2) with Ann

","Takemi - Death
Ryuji - Chariot",,Weekly Restock,"Palace Available

7 Days until Deadline","

","Read Zorro, the Outlaw

Study in the Library"
,,After School,,,,,,,,
,,Evening,Clear,,Sojiro - Hierophant,,TV Shopping Delivery ,N/A,,Advance Hierophant to Rank 3
,4/26,TUESDAY,Clear,,"Takemi - Death
Ryuji - Chariot",,,"Palace Available

6 Days until Deadline",,Advance Death to Rank 3
,,After School,,,,,,,,
,,Evening,Clear,,Sojiro - Hierophant,,,N/A,,Finish watching Wraith
,4/27,WEDNESDAY,Cloudy,"Class Question +1 Knowledge
","Takemi - Death
Ryuji - Chariot",,"Triple Seven Double Points 
Day","Palace Available

5 Days until Deadline",,"Return Wraith and rent The X Folders

Work at Triple Seven"
,,After School,,,,,,,,
,,Evening,Cloudy,"Crossword +1 Knowledge
",Sojiro - Hierophant,,,N/A,,"Solve a Crossword

Watch The X Folders"
,4/28,THURSDAY,Cloudy,,"Takemi - Death
Ryuji - Chariot",,,"Palace Available

4 Days until Deadline",,Advance Chariot to Rank 2
,,After School,,,,,,,,
,,Evening,Cloudy,,"Sojiro - Hierophant
",,,N/A,,Finish The X Folders
,4/29,FRIDAY,Clear,You Start today at Home,"Takemi - Death
Ryuji - Chariot",,,"Palace Available

3 Days until Deadline
TREASURE ROOM 
DEADLINE",Golden Week - Showa Day,"Return The X Folders and exchange it
for Guy McVer

Advance Death to Rank 4"
,,Daytime,,,,,,,,
,,Evening,Clear,,Sojiro - Hierophant,,,N/A,,Clean up in Leblanc
,4/30,SATURDAY,Clear,"Can Read a Book on the Train
Class Question +1 Knowledge
Shibuya Movie Theater 
 Tanktop Millionaire +3 Guts","Takemi - Death
Ryuji - Chariot",,"Supermarket sale in Yongen
","Palace Available

2 Days until Deadline
CALLING CARD 
DEADLINE",,"Finish reading Zorro, the Outlaw, then 
exchange it for The Great Thief

Study in the Library"
,,After School,,,,,,,,
,,Evening,Clear,,Sojiro - Hierophant,,,N/A,"Following the Recommded Actions? If so, your 
social stats should look like this today.
Knowledge Rank 1  / Guts Rank 2
Proficiency Rank 1  / Kindness Rank 2
Charm Rank 2",Brew some Coffee
